file,file_size_bytes,is_binary,encoding,encoding_confidence,line_ending,line_count,extension,mime_type,has_bom,last_modified
Open3D/cpp/open3d/visualization/gui/Combobox.h,2589,False,ascii,1.0,LF,75,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Dialog.cpp,1543,False,ascii,1.0,LF,55,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Dialog.h,1105,False,ascii,1.0,LF,40,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Events.cpp,6553,False,ascii,1.0,LF,190,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Events.h,5039,False,ascii,1.0,LF,219,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/FileDialog.cpp,14216,False,ascii,1.0,LF,422,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/FileDialog.h,1951,False,ascii,1.0,LF,63,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/FileDialogNative.cpp,2197,False,ascii,1.0,LF,70,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Font.cpp,1396,False,ascii,1.0,LF,38,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Font.h,3498,False,ascii,1.0,LF,79,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/GLFWWindowSystem.cpp,21154,False,ascii,1.0,LF,586,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/GLFWWindowSystem.h,3480,False,ascii,1.0,LF,97,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Gui.cpp,2052,False,ascii,1.0,LF,63,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Gui.h,1775,False,ascii,1.0,LF,86,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ImageWidget.cpp,5686,False,ascii,1.0,LF,160,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ImageWidget.h,2757,False,ascii,1.0,LF,69,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ImguiFilamentBridge.cpp,20312,False,ascii,1.0,LF,507,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ImguiFilamentBridge.h,4037,False,ascii,1.0,LF,112,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Label.cpp,6210,False,ascii,1.0,LF,166,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Label.h,1474,False,ascii,1.0,LF,50,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Label3D.cpp,1556,False,ascii,1.0,LF,55,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Label3D.h,1758,False,ascii,1.0,LF,54,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Layout.cpp,24502,False,ascii,1.0,LF,679,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Layout.h,7730,False,ascii,1.0,LF,235,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ListView.cpp,6509,False,ascii,1.0,LF,175,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ListView.h,1954,False,ascii,1.0,LF,59,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Menu.cpp,3445,False,ascii,1.0,LF,111,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Menu.h,2687,False,ascii,1.0,LF,77,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/MenuBase.h,2823,False,ascii,1.0,LF,77,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/MenuImgui.cpp,10544,False,ascii,1.0,LF,302,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/MenuImgui.h,1951,False,ascii,1.0,LF,62,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/MenuMacOS.h,1951,False,ascii,1.0,LF,62,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/MenuMacOS.mm,5437,False,ascii,1.0,LF,184,.mm,application/x-freemind,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Native.h,1695,False,utf-8,0.802,LF,48,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/NativeLinux.cpp,2101,False,ascii,1.0,LF,63,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/NativeMacOS.mm,8829,False,utf-8,0.8004,LF,208,.mm,application/x-freemind,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/NativeWin32.cpp,1843,False,ascii,1.0,LF,45,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/NumberEdit.cpp,6013,False,ascii,1.0,LF,187,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/NumberEdit.h,1444,False,ascii,1.0,LF,52,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/PickPointsInteractor.cpp,24137,False,ascii,1.0,LF,594,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/PickPointsInteractor.h,3671,False,ascii,1.0,LF,112,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/ProgressBar.cpp,2171,False,ascii,1.0,LF,63,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/ProgressBar.h,1072,False,ascii,1.0,LF,37,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/RadioButton.cpp,5035,False,ascii,1.0,LF,149,.cpp,text/x-c++src,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/RadioButton.h,1572,False,ascii,1.0,LF,50,.h,text/x-chdr,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/SceneWidget.cpp,45149,False,ascii,1.0,LF,1249,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/SceneWidget.h,6204,False,ascii,1.0,LF,187,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Slider.cpp,3741,False,ascii,1.0,LF,117,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Slider.h,1841,False,ascii,1.0,LF,55,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/StackedWidget.cpp,1972,False,ascii,1.0,LF,62,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/StackedWidget.h,1333,False,ascii,1.0,LF,44,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TabControl.cpp,4103,False,ascii,1.0,LF,128,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TabControl.h,1243,False,ascii,1.0,LF,44,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Task.cpp,2007,False,ascii,1.0,LF,76,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Task.h,1147,False,ascii,1.0,LF,44,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TextEdit.cpp,4540,False,ascii,1.0,LF,140,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TextEdit.h,2002,False,ascii,1.0,LF,58,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Theme.cpp,555,False,ascii,1.0,LF,14,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Theme.h,2384,False,ascii,1.0,LF,89,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/ToggleSwitch.cpp,4358,False,ascii,1.0,LF,131,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/ToggleSwitch.h,1440,False,ascii,1.0,LF,48,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TreeView.cpp,19193,False,ascii,1.0,LF,504,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/TreeView.h,4810,False,ascii,1.0,LF,144,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/UIImage.cpp,11037,False,ascii,1.0,LF,293,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/UIImage.h,2929,False,ascii,1.0,LF,91,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Util.cpp,8294,False,ascii,1.0,LF,238,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Util.h,1178,False,ascii,1.0,LF,36,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/VectorEdit.cpp,3120,False,ascii,1.0,LF,101,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/VectorEdit.h,1354,False,ascii,1.0,LF,45,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Widget.cpp,6688,False,ascii,1.0,LF,201,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Widget.h,4103,False,ascii,1.0,LF,132,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/WidgetProxy.cpp,5313,False,ascii,1.0,LF,207,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/WidgetProxy.h,3926,False,ascii,1.0,LF,106,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/WidgetStack.cpp,1596,False,ascii,1.0,LF,51,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/WidgetStack.h,2654,False,ascii,1.0,LF,67,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Window.cpp,50270,False,ascii,1.0,LF,1311,.cpp,text/x-c++src,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Window.h,7299,False,ascii,1.0,LF,209,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/WindowSystem.h,3476,False,ascii,1.0,LF,101,.h,text/x-chdr,False,2026-06-12T15:44:00.616712+00:00
Open3D/cpp/open3d/visualization/gui/Materials/colorMap.mat,1073,False,ascii,1.0,LF,39,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/defaultLit.mat,3142,False,ascii,1.0,LF,65,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/defaultLitSSR.mat,2571,False,ascii,1.0,LF,61,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/defaultLitTransparency.mat,3285,False,ascii,1.0,LF,71,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/defaultUnlit.mat,1238,False,ascii,1.0,LF,41,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/defaultUnlitTransparency.mat,920,False,ascii,1.0,LF,34,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/depth.mat,821,False,ascii,1.0,LF,32,.mat,,False,2026-06-12T15:44:00.483763+00:00
Open3D/cpp/open3d/visualization/gui/Materials/depth_value.mat,1180,False,ascii,1.0,LF,40,.mat,,False,2026-06-12T15:44:00.483763+00:00
