language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.81 s (2626.9 files/s 634916.5 lines/s)"
C++,Open3D/cpp/tests/core/KnnIndex.cpp,39,33,263
C++,Open3D/cpp/tests/t/pipelines/odometry/RGBDOdometry.cpp,39,6,263
C++,Open3D/cpp/open3d/core/CUDAUtils.cpp,52,18,262
C++,Open3D/cpp/open3d/io/sensor/azure_kinect/AzureKinectSensor.cpp,40,16,262
CMake,Open3D/3rdparty/cmake/FindLAPACKE.cmake,33,127,261
C++,Open3D/cpp/pybind/core/hashmap.cpp,34,6,258
CUDA,Open3D/cpp/open3d/ml/impl/continuous_conv/CoordinateTransformation.cuh,37,84,257
C++,Open3D/cpp/open3d/visualization/gui/UIImage.cpp,24,12,257
Jupyter Notebook,Open3D/docs/jupyter/geometry/mesh.ipynb,0,428,257
Python,Open3D/examples/python/visualization/draw.py,56,14,257
C/C++ Header,Open3D/cpp/open3d/ml/impl/continuous_conv/ContinuousConvTransposeBackpropFilter.h,38,92,256
CUDA,Open3D/cpp/open3d/t/geometry/kernel/VoxelBlockGridCUDA.cu,42,11,256
Python,Open3D/python/test/core/test_tensor_function.py,73,36,254
CMake,Open3D/3rdparty/glfw/CMakeLists.txt,73,85,253
C/C++ Header,Open3D/3rdparty/glfw/src/wl_platform.h,51,36,252
C++,Open3D/cpp/open3d/io/sensor/azure_kinect/AzureKinectSensorConfig.cpp,34,15,251
C++,Open3D/cpp/open3d/ml/pytorch/continuous_conv/ContinuousConvOps.cpp,27,11,251
C++,Open3D/cpp/open3d/visualization/utility/SelectionPolygon.cpp,18,9,251
C++,Open3D/cpp/pybind/t/pipelines/slac/slac.cpp,12,7,250
C++,Open3D/cpp/tests/geometry/RGBDImage.cpp,45,11,250
CSS,Open3D/python/open3d/visualization/tensorboard_plugin/frontend/style.css,61,47,250
C/C++ Header,Open3D/cpp/open3d/ml/impl/continuous_conv/ContinuousConvBackpropFilter.h,40,81,248
C++,Open3D/cpp/open3d/t/io/TriangleMeshIO.cpp,23,32,247
C++,Open3D/cpp/open3d/t/io/file_format/FileTXT.cpp,24,11,247
C++,Open3D/cpp/open3d/t/pipelines/slac/ControlGrid.cpp,57,24,246
C++,Open3D/cpp/pybind/t/pipelines/odometry/odometry.cpp,15,10,246
C++,Open3D/cpp/pybind/visualization/utility.cpp,12,7,246
C,Open3D/3rdparty/glfw/src/vulkan.c,52,33,244
C/C++ Header,Open3D/cpp/open3d/ml/impl/continuous_conv/ContinuousConvTranspose.h,34,91,244
C++,Open3D/cpp/pybind/t/geometry/lineset.cpp,47,16,244
Python,Open3D/python/test/t/geometry/test_raycasting_scene.py,90,30,242
C/C++ Header,Open3D/cpp/open3d/ml/impl/continuous_conv/ContinuousConv.h,37,85,241
C++,Open3D/cpp/open3d/t/geometry/kernel/UVUnwrapping.cpp,34,27,241
C++,Open3D/cpp/open3d/t/pipelines/kernel/Registration.cpp,43,23,241
C++,Open3D/cpp/open3d/visualization/utility/DrawGeometry.cpp,13,6,241
C++,Open3D/cpp/pybind/pipelines/registration/robust_kernels.cpp,44,18,241
C/C++ Header,Open3D/cpp/open3d/ml/contrib/IoUImpl.h,42,23,238
C++,Open3D/cpp/tests/t/geometry/OrientedBoundingBox.cpp,72,18,238
C/C++ Header,Open3D/3rdparty/tomasakeninemoeller/include/tomasakeninemoeller/opttritri.h,43,41,237
C++,Open3D/cpp/open3d/visualization/visualizer/RenderOption.cpp,26,6,237
C++,Open3D/cpp/open3d/ml/pytorch/sparse_conv/SparseConvTransposeOps.cpp,24,10,235
CUDA,Open3D/cpp/open3d/ml/contrib/RoiPoolKernel.cu,40,61,234
C++,Open3D/cpp/open3d/t/geometry/TriangleMeshFactory.cpp,46,10,234
C++,Open3D/cpp/open3d/t/geometry/kernel/IPPImage.cpp,28,36,233
C++,Open3D/cpp/open3d/core/ShapeUtil.cpp,28,31,232
C,Open3D/3rdparty/glfw/src/null_window.c,61,30,230
C/C++ Header,Open3D/cpp/open3d/core/hashmap/CUDA/SlabHashBackend.h,51,16,230
C++,Open3D/cpp/open3d/visualization/gui/BitmapWindowSystem.cpp,64,22,230
Jupyter Notebook,Open3D/docs/jupyter/t_geometry/pointcloud.ipynb,0,594,230
C++,Open3D/cpp/tests/t/geometry/AxisAlignedBoundingBox.cpp,80,28,228
C++,Open3D/cpp/open3d/geometry/HalfEdgeTriangleMesh.cpp,33,26,227
C++,Open3D/cpp/open3d/t/io/sensor/realsense/RealSenseSensorConfig.cpp,28,17,227
C++,Open3D/cpp/open3d/visualization/gui/MenuImgui.cpp,44,32,226
C++,Open3D/cpp/open3d/visualization/shader/RGBDImageShader.cpp,34,18,226
Python,Open3D/python/open3d/ml/tf/python/ops/gradients.py,40,11,226
C++,Open3D/cpp/pybind/geometry/kdtreeflann.cpp,10,29,225
C++,Open3D/cpp/open3d/ml/tensorflow/continuous_conv/ContinuousConvTransposeOps.cpp,54,15,224
C++,Open3D/cpp/pybind/t/io/class_io.cpp,25,13,223
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentGeometryBuffersBuilder.cpp,37,18,222
C++,Open3D/cpp/pybind/geometry/voxelgrid.cpp,8,6,222
C++,Open3D/cpp/open3d/t/geometry/kernel/VoxelBlockGridCPU.cpp,38,9,221
C++,Open3D/cpp/tests/geometry/AxisAlignedBoundingBox.cpp,45,10,221
Objective-C,Open3D/3rdparty/glfw/src/nsgl_context.m,61,56,218
